Opponent (bot),Dave's Player
P,R
P,S
P,P
P,R
P,P
P,P
P,S
S,P
P,P
S,P
S,S
S,R
P,R
P,S
S,R
P,P
S,S
P,P
S,R
P,P
S,R
S,P
P,R
S,P
P,S
S,R
S,P
P,R
S,P
P,S
P,R
S,R
S,R
S,P
P,S
P,S
P,R
S,S
P,R
S,S
P,S
P,R
S,S
P,R
S,P
R,S
P,R
S,S
P,R
S,P
R,P
R,P
R,S
P,R
S,P
R,P
R,S
P,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
